Win/Loss,Optimism,Pessimism,PastUsed,FutureUsed,PresentUsed,OwnPartyCount,OppPartyCount,NumericContent,Extra,Emoti,Agree,Consc,Openn
1,0.104504505,0.05045045,0.43814433,0.494845361,0.067010309,2,2,0.001877543,4.041,4.049,3.469,2.45,2.548
1,0.114575214,0.059236165,0.291262136,0.621359223,0.087378641,1,4,0.001418909,3.446,3.633,3.528,2.402,2.831
1,0.112571898,0.049301561,0.415966387,0.516806723,0.067226891,1,1,0.002131163,3.463,4.039,3.284,2.159,2.465
1,0.107233503,0.046319797,0.463492063,0.466666667,0.06984127,1,3,0.001871715,4.195,4.661,4.007,2.801,3.067
1,0.105826397,0.051724138,0.334261838,0.582172702,0.08356546,3,4,0.00222922,4.658,4.023,3.283,2.415,2.836
1,0.075862069,0.034482759,0.28,0.52,0.2,0,0,0.003290827,2.843,3.563,3.075,1.769,1.479
1,0.098382749,0.064016173,0.324074074,0.601851852,0.074074074,6,4,0.002251985,3.727,4.108,3.357,2.128,2.231
1,0.103779244,0.056388722,0.369272237,0.549865229,0.080862534,2,4,0.002215028,4.027,4.631,3.92,2.417,2.291
1,0.106107341,0.046884639,0.363354037,0.537267081,0.099378882,2,5,0.00244644,4.119,4.396,3.661,2.572,2.599
1,0.100661278,0.059515062,0.355481728,0.53820598,0.106312292,1,2,0.002107436,3.8,4.501,3.624,2.117,2.154
1,0.083261058,0.056374675,0.379591837,0.530612245,0.089795918,1,1,0.001896302,3.652,4.029,3.311,2.062,2.14
1,0.098880597,0.049626866,0.239067055,0.660349854,0.10058309,2,12,0.001973656,4.907,4.408,4.288,3.462,3.262
1,0.102351314,0.060165975,0.386861314,0.52919708,0.083941606,1,4,0.001580107,4.047,4.219,3.45,2.427,2.546
1,0.11286844,0.059669303,0.433198381,0.473684211,0.093117409,1,1,0.001846257,4.213,4.287,3.772,2.668,2.545
1,0.090317331,0.056143206,0.279661017,0.618644068,0.101694915,1,3,0.001680755,3.475,4.042,3.547,2.61,2.68
1,0.114137484,0.06614786,0.354570637,0.559556787,0.085872576,1,5,0.00152422,4.308,4.264,3.689,2.562,2.75
1,0.112891986,0.055052265,0.389105058,0.521400778,0.089494163,2,7,0.001165647,4.086,4.173,3.368,2.348,2.412
1,0.113458057,0.053108027,0.440972222,0.4375,0.121527778,1,10,0.001886927,4.451,4.187,3.851,3.197,2.787
1,0.097147263,0.052428682,0.403100775,0.457364341,0.139534884,1,3,0.001941831,3.933,4.185,3.468,2.632,2.231
1,0.104330709,0.044291339,0.246963563,0.663967611,0.089068826,0,6,0.002506879,3.743,3.7,2.806,1.865,2.163
1,0.114663727,0.038588754,0.273684211,0.621052632,0.105263158,1,7,0.003105161,3.77,3.858,2.874,1.949,2.006
1,0.11035818,0.041626331,0.317757009,0.598130841,0.08411215,1,8,0.003130168,3.709,4.033,2.652,1.829,1.632
1,0.113300493,0.037438424,0.278969957,0.643776824,0.077253219,1,7,0.002873395,3.551,3.81,2.779,2.217,2.169
1,0.102564103,0.048351648,0.343971631,0.581560284,0.074468085,3,10,0.003023432,3.889,4.087,3.037,1.967,1.937
1,0.090534979,0.063786008,0.326829268,0.551219512,0.12195122,0,1,0.002307101,3.941,3.9,3.921,2.402,2.848
1,0.097852029,0.042163882,0.298039216,0.576470588,0.125490196,1,9,0.002538567,3.968,3.966,3.153,1.974,1.965
1,0.113671275,0.049155146,0.292763158,0.601973684,0.105263158,1,5,0.002193699,3.753,3.901,3.119,1.8,2.033
1,0.103592314,0.042606516,0.302681992,0.624521073,0.072796935,1,7,0.002697168,3.923,3.722,3.028,2.294,2.752
1,0.089849108,0.046639232,0.337931034,0.55862069,0.103448276,5,11,0.002634306,3.763,4.073,3.38,2.307,2.383
1,0.08952959,0.049317147,0.385964912,0.550877193,0.063157895,2,13,0.003029738,3.648,4.515,3.62,2.201,2.444
1,0.100297177,0.039375929,0.339805825,0.566343042,0.093851133,1,10,0.002775208,3.964,4.278,3.637,2.234,2.6
1,0.106809079,0.041388518,0.387096774,0.561290323,0.051612903,1,13,0.002923856,3.999,4.203,3.393,2.224,2.819
1,0.091180867,0.037369208,0.337837838,0.584459459,0.077702703,1,10,0.002860702,3.938,4.103,3.188,2.113,2.302
1,0.095962938,0.047650563,0.356521739,0.565217391,0.07826087,4,13,0.002999473,3.759,4.206,3.3,1.9,2.634
1,0.111245466,0.044135429,0.321078431,0.605392157,0.073529412,2,14,0.003343399,4.403,4.084,3.659,2.481,2.849
1,0.113944223,0.042231076,0.261538462,0.642307692,0.096153846,1,9,0.002204802,3.649,3.749,3.201,2.399,2.281
1,0.111945905,0.03906837,0.305019305,0.61003861,0.084942085,2,13,0.002625903,3.879,3.905,3.455,2.293,2.419
1,0.105921601,0.039199333,0.316602317,0.579150579,0.104247104,1,5,0.00210326,3.482,4.133,3.534,2.512,2.808
1,0.108084359,0.049209139,0.3375,0.554166667,0.108333333,1,6,0.002126076,3.525,3.684,3.117,2.239,3.077
1,0.091734787,0.032697548,0.318367347,0.604081633,0.07755102,1,9,0.002117581,3.325,4.178,3.372,1.741,2.504
1,0.096354167,0.043402778,0.254752852,0.547528517,0.197718631,1,5,0.002821946,4.067,4.115,3.421,2.002,2.32
1,0.095572734,0.05059733,0.277602524,0.542586751,0.179810726,1,7,0.002546286,4.371,3.891,3.438,2.238,2.726
1,0.100873709,0.036536934,0.259515571,0.546712803,0.193771626,2,5,0.002038301,4.715,3.857,3.228,2.092,2.042
1,0.089214381,0.039946738,0.293413174,0.556886228,0.149700599,2,5,0.002685465,3.27,3.211,2.818,2.067,2.37
1,0.077878104,0.039503386,0.344444444,0.511111111,0.144444444,2,6,0.002660692,3.712,3.43,3.071,2.257,2.241
1,0.080213904,0.041889483,0.361344538,0.462184874,0.176470588,3,12,0.00187567,4.072,4.021,3.368,2.221,2.181
1,0.085448393,0.055837563,0.323420074,0.579925651,0.096654275,6,10,0.002255639,3.512,3.997,3.586,2.533,2.537
1,0.078767123,0.050228311,0.258064516,0.591397849,0.150537634,3,9,0.002951594,3.413,4.081,3.045,1.348,1.669
1,0.104294479,0.049079755,0.324817518,0.518248175,0.156934307,0,2,0.002532492,4.032,3.583,3.141,2.105,2.028
1,0.091988131,0.050445104,0.334615385,0.515384615,0.15,1,3,0.002619606,3.975,3.816,3.384,2.403,2.148
1,0.084953204,0.050395968,0.262820513,0.596153846,0.141025641,0,5,0.002157547,3.539,3.833,3.431,2.556,2.582
1,0.094715168,0.055593686,0.286931818,0.610795455,0.102272727,0,1,0.001796532,3.572,3.745,3.167,2.213,2.077
1,0.100775194,0.053617571,0.317152104,0.553398058,0.129449838,1,3,0.002075517,4.213,3.76,3.363,2.479,2.424
1,0.103125,0.06171875,0.322259136,0.571428571,0.106312292,1,2,0.001836137,3.807,3.752,3.2,1.831,2.27
1,0.1015625,0.065625,0.338709677,0.491935484,0.169354839,0,0,0.002019813,4.097,3.71,3.074,2.36,2.388
1,0.100760456,0.048795944,0.287539936,0.581469649,0.130990415,0,1,0.00249673,4.58,3.902,3.246,2.608,2.38
1,0.095804634,0.053224796,0.301775148,0.550295858,0.147928994,0,2,0.00240481,4.061,3.671,3.141,2.275,2.429
1,0.084979054,0.047875524,0.298816568,0.594674556,0.106508876,0,6,0.002897569,4.062,4.155,3.271,2.228,2.407
1,0.091442953,0.05033557,0.296,0.548,0.156,3,2,0.002143006,3.894,3.878,3.301,2.42,1.892
1,0.092035398,0.046902655,0.349514563,0.533980583,0.116504854,2,1,0.002583145,4.014,3.956,3.298,2.601,2.384
1,0.101113173,0.063079777,0.294776119,0.578358209,0.126865672,4,3,0.002068888,3.52,3.36,2.762,1.815,1.852
1,0.099483204,0.05878553,0.336363636,0.53030303,0.133333333,2,2,0.001992905,4.011,3.766,3.4,2.634,2.378
1,0.089068826,0.048582996,0.272151899,0.591772152,0.136075949,3,4,0.00249366,3.946,3.902,3.419,2.578,2.259
1,0.094298246,0.043859649,0.26910299,0.61461794,0.11627907,2,4,0.002409866,3.29,3.853,3.104,2.222,1.596
1,0.093851133,0.045307443,0.224561404,0.645614035,0.129824561,3,8,0.001943138,3.575,3.58,3.158,2.167,2.031
1,0.100788782,0.042068361,0.324894515,0.52742616,0.147679325,0,17,0.002004789,3.517,3.912,3.395,2.446,2.544
1,0.109720885,0.041385948,0.321428571,0.5,0.178571429,1,13,0.002066241,3.966,3.603,3.324,2.814,2.715
1,0.086501901,0.057034221,0.294642857,0.575892857,0.129464286,0,6,0.001943753,3.854,4.03,3.319,2.391,2.209
1,0.089264174,0.051869723,0.342391304,0.52173913,0.135869565,0,5,0.001684735,3.653,3.736,2.782,1.614,2.172
1,0.101020408,0.047959184,0.322727273,0.595454545,0.081818182,0,6,0.002903027,3.594,3.649,3.004,2.079,2.134
1,0.096303502,0.055447471,0.302040816,0.563265306,0.134693878,0,8,0.003197049,3.791,3.48,2.911,1.898,2.161
1,0.088927637,0.054925894,0.329457364,0.585271318,0.085271318,0,11,0.002633348,3.695,3.516,2.815,2.113,2.541
1,0.085972851,0.049773756,0.277108434,0.578313253,0.144578313,0,13,0.003830514,3.44,3.727,2.841,1.882,2.088
1,0.085438336,0.044576523,0.351681957,0.556574924,0.091743119,2,12,0.002278328,3.716,4.346,3.268,1.956,2.148
1,0.080707148,0.041506533,0.404761905,0.472222222,0.123015873,0,15,0.003384178,3.801,3.865,3.169,2.202,2.405
1,0.091813313,0.050497322,0.283018868,0.616352201,0.100628931,0,16,0.002419111,3.238,3.789,2.922,1.277,2.014
1,0.096579477,0.062374245,0.254545455,0.622727273,0.122727273,4,9,0.002236401,3.67,3.937,2.85,1.508,2.021
1,0.100346021,0.041522491,0.278606965,0.597014925,0.124378109,0,6,0.002455623,3.65,3.938,2.937,1.472,1.897
1,0.105098855,0.042663892,0.294605809,0.618257261,0.087136929,1,9,0.002153262,3.393,3.661,3.11,1.84,2.379
1,0.107579462,0.04400978,0.213043478,0.708695652,0.07826087,2,5,0.002035278,3.349,3.637,2.339,0.691,1.609
1,0.099282297,0.049043062,0.265060241,0.590361446,0.144578313,0,6,0.002319849,3.534,3.991,2.971,1.633,2.023
1,0.10916442,0.049865229,0.284883721,0.569767442,0.145348837,0,6,0.002247191,3.759,3.45,2.703,1.607,2.25
1,0.096666667,0.061111111,0.255924171,0.620853081,0.123222749,1,3,0.001768347,3.718,4.086,3.078,1.266,1.862
1,0.097087379,0.052184466,0.268421053,0.610526316,0.121052632,1,5,0.001867623,3.866,3.704,2.82,1.333,1.823
1,0.085741811,0.05973025,0.291666667,0.628787879,0.079545455,2,9,0.001445922,3.724,3.642,2.944,1.63,2.259
1,0.107177974,0.041297935,0.318627451,0.573529412,0.107843137,1,8,0.001621049,3.853,3.574,2.864,1.814,2.029
1,0.111607143,0.0625,0.323275862,0.504310345,0.172413793,0,1,0.001430474,3.824,3.444,3.525,2.429,2.893
1,0.113591596,0.059750492,0.309027778,0.538194444,0.152777778,0,1,0.001259665,3.63,3.461,3.333,2.242,2.925
1,0.105229994,0.057340895,0.303630363,0.564356436,0.132013201,0,2,0.001499688,3.851,3.355,3.244,2.263,2.865
1,0.102997694,0.050730208,0.346774194,0.544354839,0.108870968,0,7,0.001519682,3.884,3.4,3.576,2.666,3.044
1,0.106048704,0.061272584,0.295019157,0.597701149,0.107279693,1,7,0.0014007,3.648,3.663,3.267,2.149,2.725
1,0.111610487,0.056179775,0.354477612,0.541044776,0.104477612,0,7,0.002060118,3.736,3.601,3.382,2.484,2.842
1,0.081081081,0.027027027,0.083333333,0.833333333,0.083333333,0,0,0,0.669,1.783,2.415,2.312,2.591
1,0.111472742,0.052888527,0.293838863,0.568720379,0.137440758,0,2,0.001936207,3.965,3.338,3.263,2.425,3.067
1,0.097102584,0.057948316,0.337398374,0.573170732,0.089430894,0,7,0.001679925,3.527,3.737,3.546,2.378,2.8
1,0.09707113,0.053556485,0.271111111,0.617777778,0.111111111,0,3,0.001800085,3.49,3.593,3.511,2.46,2.999
1,0.101644245,0.05754858,0.332179931,0.574394464,0.093425606,0,5,0.001376234,3.756,4.2,3.304,1.742,2.228
1,0.103820598,0.053986711,0.26459144,0.595330739,0.140077821,3,1,0.001456588,3.778,3.8,3.425,1.973,2.958
1,0.097222222,0.057189542,0.283088235,0.621323529,0.095588235,0,4,0.001780198,3.071,3.574,3.558,2.303,3.149
1,0.105580694,0.055806938,0.321428571,0.567857143,0.110714286,0,4,0.001324441,3.497,4.01,3.782,2.461,3.18
1,0.103866566,0.049279757,0.349019608,0.525490196,0.125490196,0,2,0.001496096,3.992,3.559,3.308,2.427,2.788
1,0.095808383,0.051646707,0.400651466,0.521172638,0.078175896,1,0,0.001271514,4.131,4.112,3.328,2.329,3.098
1,0.096153846,0.059440559,0.306122449,0.546938776,0.146938776,1,3,0.001429514,3.367,3.587,3.689,2.617,3.136
1,0.104440789,0.055921053,0.342205323,0.536121673,0.121673004,0,2,0.001596621,3.564,3.347,3.454,2.731,3.279
0,0.133561644,0.066210046,0.570247934,0.314049587,0.115702479,1,7,0.001528117,3.349,3.092,4.005,3.495,3.018
0,0.134615385,0.091880342,0.595744681,0.255319149,0.14893617,0,4,0.001264223,2.822,2.428,2.511,1.653,4.115
0,0.132275132,0.066137566,0.593023256,0.279069767,0.127906977,0,3,0.001538757,3.288,2.97,3.222,2.676,3.588
